Wavelength (nm),Blank1,F564,F565,F576,F577,F570,F571,F600,F568,F569,F582,F603,F603b
724.5,-0.001262,-0.002261,-0.001087,0.001644,0.001801,-0.000421,0.001126,-0.000487,0.000671,-0.000626,-0.00083,-0.002604,-0.001489
724,0.001214,0.002978,0.000569,0.001037,-0.00025,0.00032,0.000766,-0.0006,0.000963,-0.000289,0.000763,0.000977,0.003661
723.5,0.001231,0.001035,0.000243,0.002229,0.00168,0.002587,0.001416,-0.000018,0.000926,0.002591,0.003189,0.002283,0.003877
723,0.002729,0.001348,0.003922,0.001346,0.002401,-0.000287,0.002427,-0.001239,0.002677,0.000392,0.000017,-0.00036,0.000348
722.5,0.000698,0.000842,-0.002238,0.000661,0.001018,0.001908,0.000657,0.000185,0.001258,0.000813,-0.000169,-0.001035,0.001611
722,0.002344,0.002972,0.002474,0.002188,-0.000887,0.001109,0.000744,0.002624,-0.001535,-0.002757,-0.001166,0.000956,-0.000527
721.5,-0.002694,-0.00047,-0.00205,0.001717,0.002384,0.000939,0.003179,0.00012,0.001388,-0.000418,-0.000547,0.00224,-0.000477
721,0.000901,0.001896,0.000104,0.001881,0.001477,0.001675,0.000887,-0.001692,-0.001302,0.000214,0.001181,-0.000065,-0.000182
720.5,-0.002938,0.000467,0.000152,0.001047,0.000004,-0.000999,0.00299,-0.000994,-0.001131,-0.00084,0.000582,-0.00035,0.000076
720,0.000225,0.001917,-0.000211,0.002154,-0.000899,-0.000875,-0.001822,0.00177,0.000113,-0.000793,0.001525,0.000736,0.003729
719.5,-0.000319,0.000365,-0.000021,0.002456,0.000803,0.002135,0.0034,-0.000298,-0.000211,-0.000328,0.000141,0.000218,0.000306
719,0.001548,0.000102,0.00003,0.002191,0.001853,0.001478,0.001174,-0.00014,0.001548,0.000053,0.001531,0.002795,0.000675
718.5,-0.001277,-0.000182,-0.001571,0.001734,0.000703,-0.00033,0.000009,0.002836,0.000203,0.000352,0.000939,0.00168,0.002153
718,0.000266,0.001694,0.000978,0.000732,-0.002021,0.000278,0.000977,-0.000541,0.000417,0.000149,0.001111,-0.001876,0.001515
717.5,0.000962,0.002627,-0.000373,0.002443,0.001457,0.001446,0.000369,0.001823,-0.00005,-0.000414,-0.000063,-0.000551,-0.000155
717,-0.000226,-0.000637,-0.000601,0.000647,-0.000744,-0.00066,0.000671,-0.000708,0.000194,-0.000055,-0.00137,-0.002405,-0.002536
716.5,-0.001717,-0.000787,-0.000667,-0.000124,-0.001973,0.001173,-0.000889,-0.001107,0.000377,-0.000086,-0.000243,0.001945,0.002181
716,0.000317,0.001343,0.001919,0.000363,-0.001584,-0.000881,0.001232,-0.000243,-0.000687,-0.000752,0.001463,0.000515,0.002644
715.5,0.000066,0.001145,0.000293,0.001842,0.000612,0.002194,-0.000552,0.000865,0.00211,-0.000547,0.001464,0.000669,0.000631
715,0.00288,0.000827,0.002162,0.000172,-0.000388,0.001847,0.001502,0.002421,-0.000141,-0.001399,-0.000515,-0.000589,0.001002
714.5,0.000853,-0.000116,0.000946,0.003072,0.00322,-0.000387,-0.001088,0.000254,0.00124,-0.002334,0.001555,0.001853,0.00459
714,0.000914,0.001347,0.002122,0.001249,0.000612,-0.000221,0.001236,-0.001905,0.000399,-0.000655,0.000724,0.000086,0.000217
713.5,0.000364,-0.00005,0.000385,0.001466,0.000636,0.001626,0.000925,-0.00161,0.001525,-0.00096,0.000769,-0.000503,0.000941
713,-0.002787,-0.000961,-0.000578,0.002145,0.002551,-0.001565,-0.000197,-0.000366,0.000143,0.000683,-0.000596,-0.00085,0.000573
712.5,-0.000617,0.000584,0.000172,0.001581,0.001662,-0.000863,-0.000405,-0.000835,0.000137,-0.000446,0.001291,0.000724,0.001827
712,0.00184,0.00176,0.001237,0.003611,0.001235,0.000792,0.000398,-0.001311,0.000986,0.001066,0.003451,0.001071,0.002352
711.5,0.001082,0.001384,0.001526,0.002761,0.000802,0.0008,0.001641,-0.001261,-0.001022,0.000195,0.003443,0.002101,0.003199
711,0.000164,0.001817,0.000889,0.000731,-0.000177,0.001885,0.001599,0.000722,0.000923,0.001602,0.002267,0.00054,0.002791
710.5,-0.000143,0.001335,0.002025,0.000327,-0.001322,0.000396,0.00073,0.000422,0.000924,0.000077,0.000638,-0.001597,-0.000298
710,0.000573,-0.000228,0.000746,0.001911,-0.000899,0.001509,-0.001293,0.000586,0.003075,-0.000085,-0.000579,-0.000636,-0.000697
709.5,0.000381,0.001914,-0.000236,-0.000321,0.001297,0.001421,0.000287,-0.000016,-0.000198,0.000004,0.00264,0.001314,0.001693
709,0.000727,0.000102,-0.000691,0.000373,-0.001667,-0.000307,-0.000267,-0.0001,-0.000944,-0.000801,0.002907,0.003493,0.003768
708.5,0.000057,-0.000552,-0.00074,-0.000363,-0.001197,0.00074,-0.001047,-0.000978,-0.001632,-0.001201,0.00299,0.00104,0.00182
708,0.000695,0.001455,0.000049,-0.001303,-0.001122,0.000468,0.003277,-0.000088,0.000045,-0.000154,-0.000761,0.000041,-0.000348
707.5,0.0006,0.000924,0.00052,0.000385,-0.000179,0.002237,0.002702,0.002404,0.001549,0.001844,0.001946,-0.000329,0.000988
707,-0.001452,0.000529,0.001306,0.001254,-0.00068,-0.000448,-0.000071,-0.000992,0.000662,0.001151,0.001505,-0.0024,-0.000134
