Wavelength (nm),Blank1,F542,F543,F546,F547,F560,F561,F552,F553,F558,F559,F572,F573,F574,F575,F580,F581,F599,F597
743.5,0.002759,0.00277,-0.000361,0.004434,0.000414,0.00193,-0.000015,0.000634,0.002651,-0.001179,-0.001077,0.001375,0.002744,-0.002215,-0.003135,0.00228,0.000317,-0.001458,-0.000659
743,0.001966,0.000288,0.001784,0.000314,0.000392,0.000617,-0.00125,0.00021,-0.003845,0.002406,0.000976,0.003662,0.000247,0.002565,0.004064,0.001959,-0.000991,0.000342,0.000055
742.5,0.001431,-0.002671,-0.000124,-0.000598,-0.000362,0.001111,0.001923,-0.000699,0.000713,0.002519,-0.000614,0.001738,0.001609,-0.000515,0.000003,-0.000719,0.002217,-0.001798,0.00095
742,-0.001536,-0.000516,-0.003458,0.003414,0.000712,0.000241,-0.001028,-0.001406,-0.000785,-0.002771,-0.000555,0.004234,0.00383,0.002484,0.002456,0.003708,0.001354,0.000886,0.001192
741.5,-0.00027,-0.000558,0.000939,-0.001558,0.001009,0.001792,0.001062,-0.001094,-0.002333,-0.000048,-0.002517,0.00137,0.000524,-0.002018,0.001426,0.000781,0.00061,0.00097,0.000253
741,-0.001578,-0.002543,-0.002197,0.000396,0.002616,0.000905,0.000139,0.001087,0.0009,-0.001923,0.000517,-0.001205,0.000722,0.00122,0.000715,0.000861,0.000363,0.001002,0.000418
740.5,-0.000904,-0.003539,-0.002004,-0.001353,0.000179,-0.001119,-0.001444,0.002099,-0.000347,0.001066,-0.000486,0.005066,0.001496,0.002773,0.003943,-0.000507,0.000282,-0.000323,-0.00333
740,0.001801,0.002501,0.001817,0.000072,-0.000634,0.000549,-0.001195,-0.002728,-0.00045,0.00094,0.001396,0.001397,-0.003356,-0.000085,-0.001057,0.001908,0.001152,0.000763,-0.001597
739.5,0.000374,-0.001239,-0.000179,-0.001112,0.000048,-0.001554,0.000236,0.001668,0.000785,-0.00074,-0.002357,0.000012,0.00077,0.001456,0.001109,0.001557,0.001763,0.001149,0.000422
739,0.00059,-0.000334,-0.000022,-0.001217,0.000009,0.000417,-0.001215,0.001869,-0.00155,-0.000067,0.000466,0.000797,0.001003,0.000791,-0.000001,0.002197,0.001648,-0.001503,0.001103
738.5,0.001478,0.000737,0.001466,-0.001217,0.000011,0.001533,-0.000844,-0.000918,-0.002819,0.00327,0.000724,0.001635,-0.001336,0.000571,0.00114,-0.000256,-0.000753,-0.003042,-0.00117
738,0.000381,0.002709,0.002145,0.00076,0.001269,0.002015,-0.000272,0.000332,0.001261,-0.000475,0.00075,0.001365,0.000089,0.004379,0.002773,0.003265,0.001629,0.000605,-0.000744
737.5,-0.000162,0.000421,0.000394,0.00298,0.001689,0.001901,0.000979,0.000317,0.000115,-0.001286,-0.000968,0.002049,0.000092,0.000706,0.001738,-0.000042,-0.001765,-0.001682,-0.000288
737,0.003259,0.002345,0.00243,0.001239,0.001089,0.002779,0.001314,-0.001338,-0.000953,-0.002236,-0.00158,-0.001155,-0.000404,-0.001448,-0.000909,0.001603,-0.000715,0.001639,0.0019
